InterconnectionCap,Price
8.4,	71.124893544
9.8,	71.1247641941
8.9,	71.3763793498
9.8,	71.8792960165
11.2,	71.7937362637
10.3,	72.1126888736
11.7,	71.9958619505
13.1,	71.9110176282
