InterconnectionCap,Price
8.4,	59.4698809524
9.8,	59.4609626832
8.9,	59.6132509158
9.8,	59.7050538004
11.2,	59.6103044872
10.3,	59.8133505037
11.7,	59.730503663
13.1,	59.6223672161
