InterconnectionCap,Price
8.4,	63.3597710623
9.8,	62.9134386447
8.9,	63.5087179487
9.8,	63.1967502289
11.2,	62.7158791209
10.3,	63.3468486722
11.7,	62.8557909799
13.1,	62.4094654304
